ulasan,rating,tanggal
"tolong dulu kelen perbaiki jaringan di sini. kalau jaringan kek gini terus, kami di sini ganti tower aja. #Sumatra selatan, Musi Rawas Utara, Rawas Ilir, PTPP London Sumatra belani elok Estate",1,2025-07-05 13:35:44
mau buka apk my Telkomsel susah sekali padahal jaringan bagus,5,2025-07-05 13:35:39
"Perbaiki sinyal, jangan harga mulu yang naik tapi sinyal masi ampas",1,2025-07-05 13:33:37
baik bagus,5,2025-07-05 13:32:42
yth.pihak kantor Telkomsel saya menyampaikan permintaan tolong kalo bonus 24 jam itu jangan saya ambil nya jam malam habis nya jam subuh kan itu sudah tertera masa aktif nya 24 jam tapi mengapa ga sampe 24jam kemana tuh sisa nya? aku ngambil jam 8 mlm tu abis nya harus nya harus nya habis nya jam 8 malam lagi bukan malah jam subuh aku ngisi tiap hari yang 3gb 1 hari tapi nyata nya cuma sampe jam jam subuh doang gimana dong ini,2,2025-07-05 13:32:18
aplikasinya gajelas sering ngestak loading pertama masuk lama,1,2025-07-05 13:28:37
pilihan paket beragam dri mulai 5rb...banyak bonus nya di my telkomsel...⭐⭐⭐⭐⭐,5,2025-07-05 13:27:09
"aplikasi buruk, saya punya paketan, gak bisa buka, saya ga punya juga gabisa buka,",1,2025-07-05 13:24:27
"Jaringan Telkomsel tidak bagus di Daerah Depok, diperbaiki kembali supaya pengguna Telkomsel tidak beralih ke jaringan lain",1,2025-07-05 13:24:01
makin hari makin lemot jaringan 5g padahal,1,2025-07-05 13:23:14
"suka loading lama,,, kalo mau cek pulsa,, padahal udah di isi pas dicek nggak berubah 🙂",3,2025-07-05 13:22:21
sisa kuotanya g keluar2 masa masih stak di Kuota bulan kemaren di refresh juga g bisa,1,2025-07-05 13:22:04
cs telkomsel paling slow respon daripada cs kartu lain jir🗿 #SLOWRESPON🗿,1,2025-07-05 13:20:31
bukannya di bagusun kekuatan jaringannya malah harga kuotanya di makin,1,2025-07-05 13:20:00
sangat membantu tapi tolong di tawarikan promo internet yang lebih murah,5,2025-07-05 13:19:10
"pihak Telkomsel rakus banget, pulsa ku kok berkurang padahal gak pernah aktifkan paket apapun. dasar serakah.",1,2025-07-05 13:14:06
"Aplikasinya loading terus... Lama membuang waktu. Padahal mau isi paket data. Di update tepat waktu, ttp aja kendala.",1,2025-07-05 13:12:29
"lelet min katanya bye bye ribet, ini masih ribet pdhal cek"" doang",1,2025-07-05 13:10:45
APK NI LEMOT SERING GANGGUAN PUSING JADINYA GILAK,1,2025-07-05 13:10:27
makin sini makin gila' si ini sinyal nya ampun dah,1,2025-07-05 13:09:02
"tolong bug di beranda di fix, capek kalo mau beli kuota harus reinstal. !!!!!!!!",1,2025-07-05 13:08:46
"bapuk servernya, aplikasi lelet signal bapuk harga elit signal sulit",1,2025-07-05 13:06:14
Kouta paket data terlalu mahal & nonton di youtube lelet bener dah -_-,1,2025-07-05 13:02:14
"aplikasi sekelas telkomsel kq gini amat ya, mutar2 aja gk jls,",2,2025-07-05 13:02:13
ajing ....ko bisa pulsa gua gak masuk di aplikasi...udh jelas masuk ko aplikasi tida masuk,1,2025-07-05 13:01:09
"jaringan Telkomsel gini amat,,,🥲",2,2025-07-05 13:00:47
"tingkatkan lagi sinyal nya bikin emosi kalo lagi maen game tiba tiba ngelag, terutama di kabupaten sering banget ngelag, bikin emosi harga mahal kualitas juga ada kepuasan pelanggan nomer 1, jadi mintol perbaiki lagi sinyal nya biar pelanggan makin puas internetan ga hanya di kota, kota juga kadang bagus kadang jelek apalagi di kabupaten, ngelag nya juga lama bgt Sampek 5 menit, yang sama kayak gua bisa klik tombol ""ya""",5,2025-07-05 12:59:52
aplikasiku g bisa dipake. link ga kunjung dikirimkan ke SMS. sdh tak belahin isi pulsa segala. paketan internet murahku dulu sdh ga ada,1,2025-07-05 12:54:08
Wee aplikasi mu ngelag ² mau se elit apa hp ny sama aja,1,2025-07-05 12:52:17
mantap bonus,5,2025-07-05 12:50:17
"maaf Telkomsel paket nya mahal bgt terus jaringannya lemot suka ilang timbul maaf bgt paketnya diluar budget anak pelajar, udah paket nya mahal sinyalnya ga sesuai Ama harga pula jelek bgt ya Telkomsel makin di beli paket nya makin buruk sinyal nya",1,2025-07-05 12:48:59
"sialan, dulu sering beli kuota unlimited 10k an buat update banyak game yang puluhan giga. Malah sekarang cmn bisa update 1 game aja itupun cmn 20 an giga, bug kah atau gimana ini pdahal masih pada hari yg sama tp kuota nya hangus g bisa di pake??? Tolong kejelasan nya provider kikir!!!",1,2025-07-05 12:48:55
good,4,2025-07-05 12:48:30
paket mahal jaringan sulit,1,2025-07-05 12:46:44
"aplikasi tidak stabil,dan loding lama trus",1,2025-07-05 12:45:05
"promo gua mana min, kok dihilangin bung",3,2025-07-05 12:44:22
klo bgs sy kasi pullkkkk,4,2025-07-05 12:42:42
MAKSAIN BANGET HARUS TRANSAKSI MELALUI KREDIVUCK...MAKSUDNYA GIMANA INI TELKOMSEL?????? PAKE KENA ADMIN 2.500 SEGALA LAGI.. AMPASS,1,2025-07-05 12:42:26
Woiiii benerin lah aplikasi nyaaa.. nge bugs ke TAIIIIII....!,1,2025-07-05 12:42:13
sangat mudah dan menguntungkan,5,2025-07-05 12:41:39
"tolonglah perbaiki, saya pakai Telkomsel sudah dari 2006. sekelas Telkomsel masa iya apl nya stuck+ berat. apakah tidak support lagi ram 8/256?",4,2025-07-05 12:39:55
bagus,5,2025-07-05 12:38:46
kualitas sinyal sangat jelek,1,2025-07-05 12:38:43
"aplikasi korup.. saldo pulsa 7rb an, pas isi pulsa lagi saldo hilang",1,2025-07-05 12:37:31
tiap buka apk lemot mulu apk tolol,1,2025-07-05 12:36:23
bug,5,2025-07-05 12:34:04
"percuma di restart HP sinyal masih leg, dah ga mau lagi pake TELKOMNYET lagi!!! , sinyal sumatra busuk!!!",1,2025-07-05 12:32:44
"paket mahal, aplikasi sering nge stuck, sinyal gawat! kadang ada kadang ilang, kalau ilang lama banget kembalinya",1,2025-07-05 12:32:22
"harga mahal, sinyal lelet",1,2025-07-05 12:31:25
apk susah di buka paket makin mahal,1,2025-07-05 12:31:09
"APAAAN SEKARANG JARINGAN TELKOMSEL NI JELEK BANGET DAH, GAK WIFI GAK KARTU SAMA AJA. BIKIN JENGKEL",1,2025-07-05 12:30:40
"Telkomsel makin lama makin mahal aja paket nyaaaa g, kyk Krtu"" lain bnyak promo""",1,2025-07-05 12:30:26
"ini aplikasi kalo jarang dibuka, sekalinya dibuka langsung eror- kadang loading terus, kadang fiturnya memuat ulang terus ga selesai² hadehh.. jadi harus bolak balik uninstall install",2,2025-07-05 12:25:22
makin ke sini makin hancur aja jaringan telkomsel,1,2025-07-05 12:25:00
"Ada promo 100GB harga 100rb tapi pas mau dibeli malah gak bisa. Harusnya gak usah aja ada muncul itu promo kalo emang ga bisa dibeli, dasar penipu. Promo tiap nomor beda2, ada 100rb dapat 90GB ada yg cuma 50GB, gak adil banget",1,2025-07-05 12:23:47
setiap mau cek kuota selalu loading. kesel gue. ngapain ada aplikasi my telkomsel kalau cek kuota masih harus manual.!,1,2025-07-05 12:23:37
"ampun mau beli paket data aja susahnya setengah mati loading terlalu lama padahal sinyal bagus, setingkat Telkomsel susah banget",1,2025-07-05 12:22:38
udh mahal jaringan ngilang mulu kikir,1,2025-07-05 12:22:29
sangat baik,3,2025-07-05 12:22:25
lengkap sudah,5,2025-07-05 12:22:11
penipuan... tulisannya beli paket 75k dpt 15gb.stelah bli cuma jdi 9gb..,1,2025-07-05 12:22:00
loading lamaaaaaaaaaaa...,2,2025-07-05 12:21:38
bagus,5,2025-07-05 12:20:51
ini kenapa sih aplikasinya gak bisa beli kuota pake pulsa harus melalui kredit atau transfer padahal udah beli pulsa banyak2 gak bisa beli kuota pakai pulsa itu aplikasi tolol,1,2025-07-05 12:19:50
sangat membatu,5,2025-07-05 12:15:32
mantab,5,2025-07-05 12:13:50
Aplikasi sering ngebag,2,2025-07-05 12:13:25
"buruk banget sumpah buruk banget kecewa sihh padahal udah lama pake Telkomsel dari dulu gak pernah sekecewa ini knpa ya semenjak update aplikasi nya kok semakin hancur ya kok setiap saya masuk di aplikasi nya malah gak muncul apa"" biasanya kan ada jumlah kuota sama pulsanya kok sekarang malah hilang padahal jaringan internet nya bagus kuota juga banyak tapi kok pas buka aplikasinya gak muncul apa"" tolong dong di perbaiki udah hapus sama instal beberapa kali pun tetap sama hancur dah pokoknya!!",1,2025-07-05 12:11:18
"come on Telkomsel udah bener Gopay pakai nomer hp apa aja bisa kenapa sekarang malah harus pakai yang nomer Telkomsel, sekarang malah jadi ribet",1,2025-07-05 12:10:49
good,5,2025-07-05 12:09:48
aplikasi sampah..buat cek quota aja susah..gk kuat bayar apa telkomsel buat orang IT yg qualified,1,2025-07-05 12:09:40
"sering ngelag aplikasinya, kalau cek kuota internet atau pulsa pasti ngga sesuai dan loading parah",3,2025-07-05 12:07:55
kenapa sekarang jadi lemot.. loadingnya lama,2,2025-07-05 12:06:05
"minta kuota gratis dong, 30 GB lah 😂",5,2025-07-05 12:05:02
"HARGA MAKIN MAHAL, SINYAL JELEK 💩💩💩💩💩💩",1,2025-07-05 12:04:48
keren,5,2025-07-05 12:01:47
paket mahal² gaperna promo🫨 pdhl kartuku udh hampir 10 tahun huh,1,2025-07-05 12:00:47
tambah bobrok ini apk...informasi gag jelas muter² doang,1,2025-07-05 12:00:12
Coin tidak bisa dipake buat beli kuota,5,2025-07-05 11:57:49
kreen,5,2025-07-05 11:51:55
sudah beberapa hari aplikasi ini sulit diakses,1,2025-07-05 11:50:47
lelet terus ini aplikasi,1,2025-07-05 11:50:35
"internet gak stabil, full kuota 😏",1,2025-07-05 11:47:25
"katanya biar gak ribet, tapi kalah sama xl...aplikasi dibuka buat baca sisa kuota muter kayak bekicot mau melahirkan...👎👎👎",1,2025-07-05 11:47:09
udah mahal makin susah lagi mau beli paket data pakai aplikasi ini....,1,2025-07-05 11:45:18
sangat baik,5,2025-07-05 11:44:07
"kok ke sini² kok ilang ya kuota internet ku yg harga 15.000 30 hari 4gb, jadi 14 hari, Telkomsel GK asik lagi",2,2025-07-05 11:42:26
aplikasi berat bgt sekelas ram 8 gb aja loading terus.dan di dalam apk banyak scam yg kalo di klik auto berlangganan fitur gak jelas kena potong 2.200.sekelas telkomsel masih ada scam berlangganan,1,2025-07-05 11:41:15
aplikasi sampah 👎👎👎👎👎,1,2025-07-05 11:40:46
Telkomsel makin ok,5,2025-07-05 11:40:43
baik bayak bonus internet👍👍👍👍,5,2025-07-05 11:40:24
ko ini saya engga paket darurat tapi pas di cek ko malah ada paket darurat astagfirullah aladzim..,4,2025-07-05 11:39:53
lumayan bagus,4,2025-07-05 11:37:32
"sudah 17 THN. saya menggunakan Telkomsel dan suka dukanya, fitur semakin okay dan internet. terbaik. terimakasih",5,2025-07-05 11:34:52
baru beli pulsa...mau di paketin..malah kepotong untuk akses internet...🥲,3,2025-07-05 11:34:37
gacor banget,5,2025-07-05 11:34:29
sinyal bagus...,5,2025-07-05 11:33:40
bagus,5,2025-07-05 11:32:08
semoga ada yang lebih murah di kartu ku ini,5,2025-07-05 11:30:08
sanngat bagus dan jg stabil,5,2025-07-05 11:29:58
KURANGIN LAH ISI PAKET INI,1,2025-07-05 11:27:41
kasih bagus lagi promo nya,4,2025-07-05 11:26:34
"mending pada pindah ke indosat soal nya sinyal telkomsel walau penuh tapi lemot nya minta ampun, udah mah harga paketnya mahal.",1,2025-07-05 11:26:14
kalo bisa jaringan di lancarkan,5,2025-07-05 11:25:50
Aplikasinya sangat membantu..,5,2025-07-05 11:24:37
"aplikasi gajelas buka menu aja loading lama, lebih ringan gensin impact anjay",1,2025-07-05 11:19:58
"makin kesini makin buruk aja telkomsel jaringan ga stabil apalagi pas cuaca mendung hujan apalagi makin lemot, dan aplikasi MyTelkomsel juga susah di akses, harga elit internet sulit",2,2025-07-05 11:19:06
saya sangat puas,5,2025-07-05 11:18:58
lelet lemot loadingnya lama,1,2025-07-05 11:18:38
dengan Telkomsel jaringan di pelosok desa bebas tanpa hambatan,5,2025-07-05 11:13:06
aplikasi stik di menu. loading lama bgt. paket mahal,1,2025-07-05 11:12:50
"aplikasi lemot padahal sinyal bagus, harga paket internet terlalu mahal, sinyal kadang kacau tolong di perbaiki",1,2025-07-05 11:12:30
aplikasi yang sangaattt,5,2025-07-05 11:11:20
Sinyal ga stabil jumping trus,1,2025-07-05 11:11:02
telkomsel emang is the best,5,2025-07-05 11:07:36
"kenapa sih mau beli paket data di aplikasinya susah baget, terjadi kesalahan terus menerus",2,2025-07-05 11:07:26
"saya sangat senang bisah menggunakan app My-Telkomsel 💯💞 saya sangat senang dengan undian 2nya , semoga saya bisah menang 🙏🏻 Amin ,,,🤲🏻",5,2025-07-05 11:07:01
"Hmm okelah gua kasih 5 bintang lagi atas layanannya, tapi saran gua di update lagi soalnya apk sering bet logout sendiri padahal ga di apa-apain",5,2025-07-05 11:06:54
gak bisa log in,1,2025-07-05 11:06:13
"Gak jelas, setiap buka aplikasi mau cek kuota atau beli paketan susahnya minta ampun, padahal sinyal bagus jaringan bagus. malah gak bisa. terus saya mau paketnya gimana.",1,2025-07-05 11:04:58
Tolong kembalikan ke tampilan lama. Pusing pake tampilan yg terbaru. Cek kuota aja ga jelas. bug parah tiap cek kuota,2,2025-07-05 11:04:31
aplikasi lambat respon,3,2025-07-05 11:01:09
"jaringan tambah parah,, maen aja nge leg parah parah",1,2025-07-05 10:58:57
"kenapa buka aplikasi nya selalu lemot?....loading lama,padahal jaringan ok",1,2025-07-05 10:57:16
butut bebel ah,2,2025-07-05 10:56:45
setial masuk ke menu setel jaringan wifi selalu tidak bisa...,1,2025-07-05 10:54:35
kemana pulsa gua yang kesedot selama ini,1,2025-07-05 10:53:58
baik,5,2025-07-05 10:52:17
👍👍👍👍,5,2025-07-05 10:50:19
"untuk pengguna telkomsel mohon dipertimbangkan lagi untuk pengguna Kouta atau data internet, karna 30GB sebulan contoh nya itu tidak habis tinggal 15 GB lagi dan limit waktu sebulan sudah habis, jadi kemana sisa data internet yang 15 GB itu, apakah di ambil Telkomsel balik, itukan sudah dibeli. dan kenapa bisa terjadi begini mohon penjelasan Telkomsel.",5,2025-07-05 10:45:43
sangat bagus,5,2025-07-05 10:34:12
bagus,2,2025-07-05 10:30:32
"Jaringanya kek sampah, benerin jaringanya ngapa",1,2025-07-05 10:30:08
aplikasi sering oror gak bisa di refresh...,1,2025-07-05 10:29:33
"Bukanya diperbaiki malah kemunduran,, aplikasi buat ngecek kuota sering eror,, apa seperti ini apk milik BUMN,,APK eror Pegawai banyaak Korup sangat MIRIS",2,2025-07-05 10:25:11
"APK Terburuk, mau cek sisa kuota saja lemot berhari hari. Kacau",1,2025-07-05 10:25:07
lumayan fast respon,4,2025-07-05 10:22:08
Hallo My Telkomsel Mana paket nya Kawulo Cilik..10 Ribu kuota yg penting 30 hari..biar GK ngurusin saja kuota..wong cilik mau cari Nafkah.. kuota 30 hari...10 Ribu..30 hari..👍👍👍👍👍,5,2025-07-05 10:22:06
hallo min ini kenapa nya kuota belajar / ilmupedia kok gak bisa di pake / coid tolong di perbaiki lagi nya dengan normal,5,2025-07-05 10:21:16
kalau bisa 100rb 100 GB temen gua bgitu paket data nya,4,2025-07-05 10:20:56
"costumer service ga respon udh berkali kali ngeluh jaringan yang ngelag masih ga di tanggapin, jaringan kayak sampah tapi harga nya mahal bikin rugi kalo udah beli!!!",1,2025-07-05 10:20:50
kouta hangus setelah sebulan padahal masih banyak,1,2025-07-05 10:18:27
membantu,5,2025-07-05 10:18:03
"admin tolong di perbaiki aplikasinya. jaringan kita bagus dan lancar bahkan untuk nonton YouTube sambil hotspotin laptop masih enak. masa kita biar hanya buka aplikasi malah loading banget. memuat semua konten dan fitur dalam aplikasi kok lama banget, padahal kita gak numpang hotspot ke HP lain atau apapun. tapi hanya untuk buka aplikasi susahnya minta ampun, padahal kuota juga masih ada. tolong yah di perbaiki",1,2025-07-05 10:17:34
semoga dapet gratisan banyakk,5,2025-07-05 10:16:51
Diharapkan aplikasinya di coba oleh pembuat. Seperti user pada umumnya. Coba cek kuota. Dengan internet yang Telkomsel sediakan dan memakai aplikasi My Telkomsel. Posisi sinyal full. ko bisa bisanya lemot. harus Cek satu per satu lagi. Hapus cache udah . Coba itu aja dulu.,1,2025-07-05 10:13:11
good,5,2025-07-05 10:11:55
good,5,2025-07-05 10:09:12
aplikasi lemot ga akurat harus hapus data baru bisa terbuka,1,2025-07-05 10:06:58
paket data mahal..,1,2025-07-05 10:05:49
"busyeet, tiap bulan paketan naek muluuu... edyaann. udah jaringan lemoott. promo cuman sekali beli kedepannya beda lagi harganya, naik lagi. ET dahhh. udah 10 tahun lebih kartu gak ganti padahal.",1,2025-07-05 10:02:18
"makin lama pakai kartu yang sama makin mahal paket yang di berikan, paket yang sama saja klw beli berulang kali makin naik harganya, jumlah paketnya sama,, benar benar ini telkomsel bikin muak,,.",1,2025-07-05 10:01:07
apk lemot,1,2025-07-05 09:58:17
sangat buruk saya tidak bisa ambil kouta tuker poin,1,2025-07-05 09:53:47
setiap mau bli kuota pulsa gua ke ambil 2k,3,2025-07-05 09:52:54
"aksen internet di daerah sangat mengenaskan, tidak ada tindakan nya",1,2025-07-05 09:50:30
"hei telkomsel, jgn suka jual nomer telp orang ke pihak lain, byk telp & sms spam tiap hari.",1,2025-07-05 09:49:56
"ping udah berpa hari ga stabil amburadul klw maen game online ,uPDATE MALAH MIKIN JADUL BAE NH APLIKASI PESAN NOTIF GA BISA DI HAPUS JADI NUMPUK BERAT APLIKASINYA",1,2025-07-05 09:49:23
kuota saya gak masuk yang 15 gb,1,2025-07-05 09:47:47
"Dr dulu/ sejak sy msh gadis sampai sekarang,Suka aja pakek Telkomsel, krn Jaringannya lbh Luas & Ms Tenggangnya jg Lama.🙏🫶🙂",5,2025-07-05 09:43:44
"Terakhir kali ngasih ulasan di 2023, dan baru Update skrg krna ntah knp nih apk skrg suka ngelag wktu diberanda, di refresh berulang kali pun ttp sama, bahkan sekedar ingin ngecek kuota aj gbisa, pdhal saat buka aplikasi lain kya yt, fb, tiktok, dan apk streaming video online lancar aj tuh. Gtau ini bug atau emg masalah koneksi tpi mhon diperbaiki.",3,2025-07-05 09:39:13
kagak jelas apk sering stuck di beranda,1,2025-07-05 09:38:28
harga paket data gak ngotak,3,2025-07-05 09:35:30
cukup puas,4,2025-07-05 09:33:53
aplikasi suka lama loading. sisa paket tidak langsung terupdate di beranda.,2,2025-07-05 09:30:59
cukup baik,5,2025-07-05 09:29:19
jaringan di Tarakan jelek,3,2025-07-05 09:28:07
"saya mau beli kuota pake pulsa kok gak bisa trus total harganya ditambah 2.500, perasaan 1 Minggu yang lalu gak gini",3,2025-07-05 09:25:52
Sinyal Full tapi koneksi internet seperti 2G,1,2025-07-05 09:25:33
Sinyal ngelek mulu saat main padahal paket banyak. Nyesel gua donlod Telkomsel,1,2025-07-05 09:25:03
bagus,5,2025-07-05 09:24:27
aplikasi toling diperbaiki loading parah.,3,2025-07-05 09:23:49
kok saya gk bisa beli paket perpanjangan masa aktif y ...? padahal sebelum sebelumnya bisa...,1,2025-07-05 09:21:57
mantap,1,2025-07-05 09:19:39
"Telkomsel provider paling jelek dalam jaringan internet, kualitas sinyal gsm full, tapi internetnya di ukur cuma 3,4mbfs , leletnya minta ampun, harga mahaaal kualitasnya tidak sesuai haraoan, telkomsel besar karena jaringan gsmnya luas, tapi untuk jaringan internetnya parah dan tidak sesuai demgan signal gsm, telkomsel jaringan terburuk di indonesia, catat 5 juli 2025 edit ulasan, agar menjadi tahu",1,2025-07-05 09:19:26
"Bapak saya kena scam Paket Darurat otomatis menyala tanpa sepengetahuan dan konfirmasi terlebih dahulu saat paket data tiba-tiba habis. Di aplikasi MyTelkomsel juga gak ada cara mematikannya, harus ke *505# dan pilih lainnya untuk Stop Penawaran-nya. Hati-hati yang lain kalau paketnya tiba² habis, segera beli pulsa dan aktifkan paket atau mau aman dimatikan dulu penawarannya",1,2025-07-05 09:15:19
jaringan cacat,1,2025-07-05 09:14:16
"ga usah ngawur kalo bikin diskripsi niat beli paket harian ada internet sepuasnya ,eh taunya tanpa deskripsi ,setelah di beli jadi paket 15 gb 128 kbps kekuatan sinyalnya aneh",3,2025-07-05 09:09:20
"mau transaksi aja ribet banget padahal mau bayar pakai dana karna kepencet kembali harus nunggu 1 menit apk di uninstal di download lagi tetap sama harus nunggu satu menit, malah bukan nunggu satu menit tetapi berjam jam, tolong My telkomsel di perbaiki, pakai itungan kalo bisa biar menunggunya tidak sia sia",1,2025-07-05 09:04:36
terlalu lelet,1,2025-07-05 08:54:41
sangat terbantu,5,2025-07-05 08:52:17
aplikasi lelet,1,2025-07-05 08:49:26
apk tai,1,2025-07-05 08:47:23
sangatt baguss,5,2025-07-05 08:46:05
nge stuck mulu anj,1,2025-07-05 08:42:48
ok,5,2025-07-05 08:40:02
okey baik 🤔🤔🤔🤔,5,2025-07-05 08:38:30
Good,5,2025-07-05 08:37:19
Terlalu mahal untuk paket,1,2025-07-05 08:36:30
"aplikasinya sering macet, loading kelamaan. Padahal jaringan aman-aman aja tapi aplikasinya macet terus",1,2025-07-05 08:34:54
mantap man,5,2025-07-05 08:33:52
"gajelas,makin lama make kartu Telkomsel makin mahal aja,tiap bulan ada aja harga paket yg di naikin.",1,2025-07-05 08:29:59
tolong diperbaiki lagi sistem aplikasi. karena stuck dan loading terus di beranda menu. mau cek pulsa/Kouta selalu lama bahkan bisa ga muncul. ayolah saya udh pengguna setia selama 8tahun pake Telkomsel masa baru kali ini susah akses aplikasinya,3,2025-07-05 08:29:20
"lemot kali kalo mau isi paket,berjam2 baru ke refresh",1,2025-07-05 08:27:47
ayo telkomsel semakin jaya perkencang sinyal murahin paket auto jaya.amin terbaik,5,2025-07-05 08:24:21
"jaringan nomor satu di Indonesia tapi masih ngeleg, dan masih ada di beberapa daerah yang tidak ada internetnya",1,2025-07-05 08:22:01
aplikasi terlalu sering stuck,1,2025-07-05 08:17:48
terkadang jaringan lelet,4,2025-07-05 08:08:08
saya turunkan jadi bintang satu aplikasi sering loading kesel banget lama lama sy uninstal ini aplikasi jelek banget sumpah,1,2025-07-05 08:06:04
"harga kuota semakin mahal g pernah ada bonus atau gratis chat oprator lain banyak bonus app lemot bug harus nunggu kl buka app kl lagi nlp ilang"" suara harus pindah lokasi padahal bukan d gunung bukan didalam rumah diluar sekarang semakin kesini Telkomsel jelek sudah mahal beli kuota...",1,2025-07-05 08:04:39
paketnya mahal mahal,1,2025-07-05 08:04:22
mantap apk ini,5,2025-07-05 08:02:33
lambat aplikasinya,1,2025-07-05 08:01:55
abrakan meh mbayar kokean angger sek ngelek metu metu Dewe aplikasi tidak baik,1,2025-07-05 08:01:21
"Ini sering kali terjadi, udh banyak no.verifikasinya yg masuk tpi selalu begitu, ""sayangnya, My Telkomsel Telah berhenti"". Hemmm susah bener Isi pulsa dari maghrib kmren sampe skrg belum masuk2 Anjiirr dah biasanya ga kaya gini. Kenapa sih? Udh capek tah ngelayanin pelanggan. Stop aja, cabut tuh towernya. Gawe nyesek bae. Wooiii kuota gw udh abis... Pulsa blm masuk... Gila bet dah tambahan lg sekrang susaaah bgt muter² mbulet aja refresh malahan tambah lama, jelek skrg aplikasi my telkomsel.",1,2025-07-05 07:56:16
good,5,2025-07-05 07:55:02
"kenapa sekarang kalau cek kuota ribet, gak langsung muncul diagramnya.",1,2025-07-05 07:55:00
woy min kenapa Pket ekstra gembira gua gak msuk apalah gk jelas banget,1,2025-07-05 07:51:04
aplikasi sering stag,3,2025-07-05 07:50:51
saya senang menggunakan Telkomsel sagat puas,5,2025-07-05 07:43:23
update terus,2,2025-07-05 07:43:14
kurang promonya,1,2025-07-05 07:42:08
menyediakan jaringan internet rumah tapi pelit di pelayanan online untuk pengaduan.,1,2025-07-05 07:36:12
ngeleg,1,2025-07-05 07:35:44
"makin lama makin jelek aja, setiap loading apk telkom selalu stuck anjir lelet banget sumpah nyesel",1,2025-07-05 07:34:46
telkomsel jaringan sangat stabil,5,2025-07-05 07:33:07
"pulsa kesedot Mulu, gagal beli kuota",1,2025-07-05 07:31:55
buruk!!!!!!!,1,2025-07-05 07:30:58
"aplikasi nya tidak stabil , suka stuck saat loading .. sudah makin tidak jelas lagi aplikasi nya .",1,2025-07-05 07:30:24
"Ok,mantap",5,2025-07-05 07:28:24
sering stuck loading,1,2025-07-05 07:25:02
stuck terus di loading,1,2025-07-05 07:23:47
sinyal nya kok makin ke sini bukan makin bagus tapi makin buruk yah ?? padahal deket sama telkom,1,2025-07-05 07:23:39
jadi kayak gini nih kan saya pernah pinjam pulsa di Telkomsel tapi pas saya mau bayar tapi kartu saya malah mati jadi saya tidak bisa bayar utang pulsa saya jadi saya mau minta solusi agar saya bisa bayar utang saya,4,2025-07-05 07:22:25
"saya kasii bintang 1 dluu,karena apa,karena burukk bangett sinyall nyaa,kadang harus nunggu 20 menit baru muncul loading aplikasi lainya",1,2025-07-05 07:20:31
"mengapa sering ada penawaran pinjol lewat sms,pinjol aplikasi berbahaya",1,2025-07-05 07:15:00
Harga makin mahal sinyal makin jelek dikota Jambi sinyal cuma 2 titik dan tidak stabil. sungguh sangat kecewa dgn Telkomsel!,1,2025-07-05 07:12:54
"jaringan leletnya luar biasa nggak ada lawan, baru nyoba pakek kartu telkomsel nyesel belinya ternyata leletnya minta ampun.",1,2025-07-05 07:09:14
Jangan pernah pake Telkomsel jaringan nya sangat parah saya pengen mengirim pesan WhatsApp lamanya minta ampun.,2,2025-07-05 07:08:54
aplikasi lemot gk bisa dibuka gak guna,1,2025-07-05 07:08:24
pelayanan jelek.,1,2025-07-05 07:04:52
